PRESCRIBING_PRODUCT;AFLEVERSTATUS
DEXAMETHASON - 1 mg/ml - Oogdruppels;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25.000 eenheden - Maagsapresistente capsule;Uitsluitend recept
DEFEROXAMINE - 500 mg - Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
ESOMEPRAZOL/NAPROXEN - 500 mg/20 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
TRIPTORELINEPAMOAAT - 22,5 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
ENOXAPARINE - 10.000 IE - Oplossing voor injectie;Uitsluitend recept
ROSUVASTATINE - 10 mg - Filmomhulde tablet;Uitsluitend recept
ZUCLOPENTIXOL - 500 mg/ml - Oplossing voor injectie;Uitsluitend recept
QUETIAPINE - 100 mg - Filmomhulde tablet;Uitsluitend recept
LAMOTRIGINE - 100 mg - Dispergeerbare tablet;Uitsluitend recept
TAFLUPROST - 15 microgram/ml - Oogdruppels;Uitsluitend recept
PENTOXIFYLLINE - 400 mg - Tablet met gereguleerde afgifte;Uitsluitend recept
PROMETHAZINE - 25 mg/ml - Oplossing voor injectie;Uitsluitend recept
CLOBETASOL - 0,5 mg/g - Zalf;Uitsluitend recept
FLUTICASON/SALMETEROL - 50 microgram/250 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
MUPIROCINE - 2% - Zalf;Uitsluitend recept
INDAPAMIDE - 2,5 mg - Omhulde tablet;Uitsluitend recept
SUMATRIPTAN - 50 mg - Dispergeerbare tablet;Uitsluitend recept
SIMVASTATINE - 20 mg - Filmomhulde tablet;Uitsluitend recept
MORFINE - 30 mg - Tablet met verlengde afgifte;Uitsluitend recept
OXCARBAZEPINE - 60 mg/ml - Suspensie voor oraal gebruik;Uitsluitend recept
TACROLIMUS - 0,5 mg - Capsule;Uitsluitend recept
ASCORBAAT (C6H7O6)-/ASCORBINEZUUR (L-) (E 300)/(CL-)/(K+)/(E 508)/MACROGOL 3350/(NA+)/ASCORBAAT (E 301)//(E 514 (I))/(SO42-) -  - Poeder voor drank;Uitsluitend recept
TOBRAMYCINE - 300 mg/5 ml - Verneveloplossing;Uitsluitend recept
HYDROCORTISON - 1 mg/g - Emulsie voor cutaan gebruik;Uitsluitend recept
ALITRETINOÏNE - 30 mg - Capsule;Uitsluitend recept
AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 5 mg/1,25 mg/5 mg - Filmomhulde tablet;Uitsluitend recept
CLONIDINE - 0,150 mg/ml - Oplossing voor injectie;Uitsluitend recept
CITROENZUUR  (E 330)/OXIDE, LICHT (E 530)/PICO -  - Poeder voor drank;Uitsluitend recept
QUETIAPINE - 200 mg - Filmomhulde tablet;Uitsluitend recept
OCTREOTIDE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
ESOMEPRAZOL - 10 mg - Maagsapresistent granulaat voor orale suspensie;Uitsluitend recept
MESALAZINE - 1 g - Zetpil;Uitsluitend recept
CICLOSPORINE - 100 mg - Capsule;Uitsluitend recept
TESTOSTERON - 1000 mg/4 ml - Oplossing voor injectie;Uitsluitend recept
METHYLFENIDAAT - 10 mg - Tablet;Uitsluitend recept
AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 5 mg/1,25 mg/10 mg - Filmomhulde tablet;Uitsluitend recept
ALITRETINOÏNE - 10 mg - Capsule;Uitsluitend recept
ISOSORBIDEMONO - 100 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
ISOSORBIDEMONO - 100 mg - Capsule met verlengde afgifte;Uitsluitend recept
NADROPARINE - 3.800 IE/ 0,4 ml - Oplossing voor injectie;Uitsluitend recept
QUETIAPINE - 200 mg - Tablet met verlengde afgifte;Uitsluitend recept
MESALAZINE - 1000 mg - Granulaat met verlengde afgifte;Uitsluitend recept
MESALAZINE - 1000 mg - Maagsapresistent granulaat;Uitsluitend recept
FLUTICASON - 100 microgram/dosis - Inhalatiepoeder;Uitsluitend recept
ESTRIOL - 1 mg/g - Crème voor vaginaal gebruik;Uitsluitend recept
TRETINOINE - 10 mg - Capsule;Uitsluitend recept
"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" - 75.000 SQ-T - Lyofilisaat voor sublinguaal gebruik";Uitsluitend recept
"TIMOTHEEGRASPOLLENEXTRACT ""ALK"" -  - Lyofilisaat voor sublinguaal gebruik";Uitsluitend recept
NITROGLYCERINE - 10 mg/24 uur - Pleister voor transdermaal gebruik;Uitsluitend recept
BARNIDIPINE - 20 mg - Capsule met gereguleerde afgifte;Uitsluitend recept
BECLOMETASON/FORMOTEROL - 100/6 microgram/dosis - Aërosol;Uitsluitend recept
CLODRONAAT - 520 mg - Filmomhulde tablet;Uitsluitend recept
