PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
DEXAMETHASON - 1 mg/ml - Oogdruppels;Monofree Dexamethason 1 mg/ml, oogdruppels, oplossing in verpakking voor éénmalig gebruik;1 mg/ml;DEXAMETHASON;Oogdruppels, oplossing;Uitsluitend recept
BROOMHEXINE - 4 mg/5 ml - Drank;Broomhexine HCl hoestdrank suikervrij Sanias 4 mg/5 ml, drank;4 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25.000 eenheden - Maagsapresistente capsule;Creon 25.000 eenheden, harde maagsapresistente capsules;25.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistente capsule, hard;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25.000 eenheden - Maagsapresistente capsule;Creon 25.000, harde maagsapresistente capsules 25.000 eenheden;25.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistente capsule, hard;Uitsluitend recept
DEFEROXAMINE - 500 mg - Poeder voor oplossing voor injectie of infusie;Desferal, poeder voor oplossing voor injectie of infusie 500 mg;500 mg;DEFEROXAMINE;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
ESOMEPRAZOL  /NAPROXEN - 500 mg/20 mg - Tablet met gereguleerde afgifte;Vimovo 500 mg/20 mg tabletten met gereguleerde afgifte;500 mg/20 mg;ESOMEPRAZOL  /NAPROXEN;Tablet met gereguleerde afgifte;Uitsluitend recept
TRIPTORELINEPAMOAAT - 22,5 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Pamorelin 22,5 mg, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;22,5 mg;TRIPTORELINEPAMOAAT;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
ENOXAPARINE - 10.000 IE - Oplossing voor injectie;Enoxaparine Medcor 10.000 IE (100 mg)/1 ml oplossing voor injectie in een voorgevulde spuit;10.000 IE;ENOXAPARINE;Oplossing voor injectie;Uitsluitend recept
ROSUVASTATINE - 10 mg - Filmomhulde tablet;Crestor 10 mg, filmomhulde tabletten;10 mg;ROSUVASTATINE;Filmomhulde tablet;Uitsluitend recept
ZUCLOPENTIXOL - 500 mg/ml - Oplossing voor injectie;Cisordinol Depot 500 mg/ml, injectievloeistof i.m.;500 mg/ml;ZUCLOPENTIXOL;Oplossing voor injectie;Uitsluitend recept
