Brandname;ActiveIngredient;Strength;DosageForm;ATC;PrescribingProduct
Hydrocortison FNA;Hydrocortison;1 mg;Capsule;H02AB09;Hydrocortison - 1 mg + Capsule
Hydrocortison FNA;Hydrocortison;2 mg;Capsule;H02AB09;Hydrocortison - 2 mg + Capsule
Hydrocortison FNA;Hydrocortison;3 mg;Capsule;H02AB09;Hydrocortison - 3 mg + Capsule
Hydrocortison FNA;Hydrocortison;4 mg;Capsule;H02AB09;Hydrocortison - 4 mg + Capsule
Hydrocortison FNA;Hydrocortison;5 mg;Capsule;H02AB09;Hydrocortison - 5 mg + Capsule
Hydrocortison FNA;Hydrocortison;6 mg;Capsule;H02AB09;Hydrocortison - 6 mg + Capsule
Hydrocortison FNA;Hydrocortison;7 mg;Capsule;H02AB09;Hydrocortison - 7 mg + Capsule
Hydrocortison FNA;Hydrocortison;8 mg;Capsule;H02AB09;Hydrocortison - 8 mg + Capsule
Hydrocortison FNA;Hydrocortison;9 mg;Capsule;H02AB09;Hydrocortison - 9 mg + Capsule
Hydrocortison FNA;Hydrocortison;10 mg;Capsule;H02AB09;Hydrocortison - 10 mg + Capsule
Colecalciferol drank FNA;Colecalciferol;50.000 IE/ml;Drank;A11CC05;Colecalciferol - 50.000 IE/ml + Drank
Cetomacrogolcrème FNA;Cetomacrogol;;Crème;D02A;Cetomacrogol -  + Crème
Cetomacrogolcrème met vaseline FNA;Cetomacrogol;10 %;Vaselinecrème;D02A;Cetomacrogol - 10 % + Vaselinecrème
Cetomacrogolcrème met vaseline FNA;Cetomacrogol;20 %;Vaselinecrème;D02A;Cetomacrogol - 20 % + Vaselinecrème
Cetomacrogolcrème met vaseline FNA;Cetomacrogol;50 %;Vaselinecrème;D02A;Cetomacrogol - 50 % + Vaselinecrème
Lanettecrème I/II FNA;Lanette;;Crème;D02A;Lanette -  + Crème
Lanettecrème met vaseline FNA;Lanette;10 %;Vaselinecrème;D02A;Lanette - 10 % + Vaselinecrème
Lanettecrème met vaseline FNA;Lanette;20 %;Vaselinecrème;D02A;Lanette - 20 % + Vaselinecrème
Lanettecrème met vaseline FNA;Lanette;50 %;Vaselinecrème;D02A;Lanette - 50 % + Vaselinecrème
Vaselinecetomacrogolcrème FNA;Vaselinecetomacrogol;23 %;Vaselinecrème;D02A;Vaselinecetomacrogol - 23 % + Vaselinecrème
Vaselinelanettecrème FNA;Vaselinelanette;23 %;Vaselinecrème;D02A;Vaselinelanette - 23 % + Vaselinecrème
Lidocaïne gel FNA;Lidocaïne;20 mg/ml;Gel ;N01BB02;Lidocaïne - 20 mg/ml + Gel 
Lidocaïne orale gel FNA;Lidocaïne;20 mg/ml;Orale gel ;N01BB02;Lidocaïne - 20 mg/ml + Orale gel 
Valproïnezuur Zetpillen FNA;Valproïnezuur;250 mg;Zetpil;N03AG01;Valproïnezuur - 250 mg + Zetpil
