Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Monofree Dexamethason 1 mg/ml, oogdruppels, oplossing in verpakking voor éénmalig gebruik;DEXAMETHASON;1 mg/ml;Oogdruppels;DEXAMETHASON - 1 mg/ml - Oogdruppels
Creon 25.000 eenheden, harde maagsapresistente capsules;AMYLASE/LIPASE/PANCREATINE/PROTEASE;25,000 eenheden;Maagsapresistente capsule;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25,000 eenheden - Maagsapresistente capsule
Creon 25.000, harde maagsapresistente capsules 25.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;25,000 eenheden;Maagsapresistente capsule;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 25,000 eenheden - Maagsapresistente capsule
Desferal, poeder voor oplossing voor injectie of infusie 500 mg;DEFEROXAMINE;500 mg;Poeder voor oplossing voor injectie of infusie;DEFEROXAMINE - 500 mg - Poeder voor oplossing voor injectie of infusie
Vimovo 500 mg/20 mg tabletten met gereguleerde afgifte;ESOMEPRAZOL/NAPROXEN;500 mg/20 mg;Tablet met gereguleerde afgifte;ESOMEPRAZOL/NAPROXEN - 500 mg/20 mg - Tablet met gereguleerde afgifte
Pamorelin 22,5 mg, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;TRIPTORELINEPAMOAAT;22,5 mg;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;TRIPTORELINEPAMOAAT - 22,5 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte
Enoxaparine Medcor 10.000 IE (100 mg)/1 ml oplossing voor injectie in een voorgevulde spuit;ENOXAPARINE;10,000 IE;Oplossing voor injectie;ENOXAPARINE - 10,000 IE - Oplossing voor injectie
Crestor 10 mg, filmomhulde tabletten;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet
Cisordinol Depot 500 mg/ml, injectievloeistof i.m.;ZUCLOPENTIXOL;500 mg/ml;Oplossing voor injectie;ZUCLOPENTIXOL - 500 mg/ml - Oplossing voor injectie
Seroquel 100 mg, filmomhulde tabletten;QUETIAPINE;100 mg;Filmomhulde tablet;QUETIAPINE - 100 mg - Filmomhulde tablet
Lamictal Dispers 100 mg, kauwtabletten/dispergeerbare tabletten;LAMOTRIGINE;100 mg;Dispergeerbare tablet;LAMOTRIGINE - 100 mg - Dispergeerbare tablet
Saflutan 15 microgram/ml oogdruppels, oplossing;TAFLUPROST;15 mcg/ml;Oogdruppels;TAFLUPROST - 15 mcg/ml - Oogdruppels
Trental 400 mg, tabletten met gereguleerde afgifte;PENTOXIFYLLINE;400 mg;Tablet met gereguleerde afgifte;PENTOXIFYLLINE - 400 mg - Tablet met gereguleerde afgifte
Promethazine Eureco-Pharma 25 mg/ml, oplossing voor injectie;PROMETHAZINE;25 mg/ml;Oplossing voor injectie;PROMETHAZINE - 25 mg/ml - Oplossing voor injectie
