Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Kidiamix G25%, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);25%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 25% - Oplossing voor infusie;668
Kidiamix G20%, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);20%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUORIDE (F-)/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 20% - Oplossing voor infusie;668
Kidiamix G15%, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUOR/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);15%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/AMMONIUMMOLYBDAAT/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI /(E 340)/FENYLALANINE, (L-)/FERRO/FLUOR/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/IJZER (FE2+)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 508)/JODIDE/KOBALT (2+)/KOBALT/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/MOLYBDEEN (Mo6+)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 15% - Oplossing voor infusie;660
Kidiamix G10%, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI/FENYLALANINE, (L-)/FLUOR/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 340)/HYDROXIDE (E 525)/JODIDE/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);10%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI/FENYLALANINE, (L-)/FLUOR/FOSFOR/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/JODIDE (I-)/(K+)/(E 340)/HYDROXIDE (E 525)/JODIDE/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/(NA+)//FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 10% - Oplossing voor infusie;596
Kidiamix G10% Start, oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI/FENYLALANINE, (L-)/FLUORIDE (F-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/JODIDE (I-)/JODIDE/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/(NA+)/FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650);10%;Oplossing voor infusie;ACETYLCYSTEÏNE/ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/(Ca2+)/GLUCONAAT  (E 578)/(CL-)/CHROOM (Cr3+)/CHROOMTRI/FENYLALANINE, (L-)/FLUORIDE (F-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/JODIDE (I-)/JODIDE/KOPER (Cu2+)/KOPER/LEUCINE, (L-) (E 641)/LYSINE (L-)/(MG2+)/LACTAAT DIHYDRAAT/MANGAAN (Mn2+)/MANGAAN/METHIONINE, (L-)/(NA+)/FLUORIDE/PROLINE, (L-)/SELENIUM (Se4+)/SELENIUMDIOXIDE/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-)/ZINK (Zn2+)/ZINK  (E 650) - 10% - Oplossing voor infusie;565
Nutriflex Omega special zonder elektrolyten, 56 g/l Amino + 144 g/l G, emulsie voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/STIKSTOF (HEAD SPACE) (E 941)/THREONINE, (L-)/TRIGLYCERIDEN MET OMEGA-3-VETZUREN/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-);56 g/l;Emulsie voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/STIKSTOF (HEAD SPACE) (E 941)/THREONINE, (L-)/TRIGLYCERIDEN MET OMEGA-3-VETZUREN/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-) - 56 g/l - Emulsie voor infusie;416
Nutrineal PD4 met 11 g/l aminozuren, oplossing voor peritoneale dialyse;ALANINE, L-/, (L-)/(Ca2+)/(E 509)/(CL-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LACTAAT (S-VORM) (-)/LEUCINE, (L-) (E 641)/LYSINE, L-/(MG2+) /(E 511)/METHIONINE, (L-)/(NA+)//LACTAATOPLOSSING (S-VORM) 50 pCt/PROLINE, (L-)/SERINE, (L-)/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);4 miljoen eenheden;Oplossing voor peritoneale dialyse;ALANINE, L-/, (L-)/(Ca2+)/(E 509)/(CL-)/FENYLALANINE, (L-)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LACTAAT (S-VORM) (-)/LEUCINE, (L-) (E 641)/LYSINE, L-/(MG2+) /(E 511)/METHIONINE, (L-)/(NA+)//LACTAATOPLOSSING (S-VORM) 50 pCt/PROLINE, (L-)/SERINE, (L-)/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 4 miljoen eenheden - Oplossing voor peritoneale dialyse;380
OLIMEL N9, emulsie voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);9, eenheden;Emulsie voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, L-/METHIONINE, (L-)/OLIJFOLIE, GEZUIVERD/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 9, eenheden - Emulsie voor infusie;359
Nutriflex Lipid special zonder elektrolyten, 56 g/l Amino + 144 g/l G, emulsie voor infusie;ALANINE, DL-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (DL-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-);56 g/l;Emulsie voor infusie;ALANINE, DL-/, (L-)/ASPARAGINEZUUR, L/FENYLALANINE, (L-)/GLUCOSE/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (DL-)/LEUCINE, (L-) (E 641)/LYSINE (L-)/METHIONINE, (L-)/PROLINE, (L-)/SERINE, (L-)/SOJAOLIE, GEZUIVERD/THREONINE, (L-)/TRIGLYCERIDEN MIDDELLANGE KETEN/TRYPTOFAAN, (L-)/VALINE, (L-) - 56 g/l - Emulsie voor infusie;353
Primene 10%, oplossing voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/CYSTEINE (L-)  (E 920)/FENYLALANINE, (L-)/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, (L-)/METHIONINE, (L-)/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-);10%;Oplossing voor infusie;ALANINE, L-/, (L-)/ASPARAGINEZUUR, L/CYSTEINE (L-)  (E 920)/FENYLALANINE, (L-)/GLUTAMINEZUUR (L-) (+) (E 620)/GLYCINE (E 640)/HISTIDINE, (L-)/ISOLEUCINE, (L-)/LEUCINE, (L-) (E 641)/LYSINE, (L-)/METHIONINE, (L-)/ORNITHINE (L-)/PROLINE, (L-)/SERINE, (L-)/TAURINE/THREONINE, (L-)/TRYPTOFAAN, (L-)/TYROSINE, (L-)/VALINE, (L-) - 10% - Oplossing voor infusie;352
